student_id,study_hours,attendance,assignment_score,midterm_score,sleep_hours,participation_score,cgpa
STU1001,12.2,95.6,75.3,64.6,6.3,7.2,3.32
STU1002,6.8,91.0,68.0,63.9,6.1,6.5,2.74
STU1003,14.0,74.8,71.4,89.2,7.2,8.2,3.28
STU1004,14.8,67.0,83.0,76.3,7.1,7.1,2.48
STU1005,3.2,52.4,76.0,69.2,5.4,8.7,1.65
STU1006,5.8,76.6,79.7,78.5,7.9,8.0,2.27
STU1007,11.5,100.0,83.4,44.6,6.7,9.3,2.72
STU1008,9.7,86.3,71.9,71.4,5.7,6.8,2.94
STU1009,10.9,76.4,84.3,98.0,8.0,8.0,2.7
STU1010,7.6,86.7,80.2,73.7,7.4,5.3,2.78
STU1011,14.5,66.4,62.4,72.9,5.5,4.7,3.09
STU1012,14.1,79.0,91.9,79.1,8.6,9.8,2.91
STU1013,11.3,83.0,70.5,83.6,7.5,6.5,2.73
STU1014,15.5,81.1,57.8,46.0,6.8,7.8,2.97
STU1015,12.9,89.9,64.5,50.1,8.4,6.3,3.1
STU1016,7.6,85.4,64.8,74.7,7.0,4.7,2.45
STU1017,12.5,88.7,76.6,62.7,6.8,6.0,2.83
STU1018,7.2,75.1,73.0,89.1,6.1,9.2,2.65
STU1019,14.5,91.0,72.3,67.9,7.4,7.2,3.22
STU1020,10.8,98.3,82.8,46.9,7.3,2.2,2.55
STU1021,10.3,72.3,79.7,55.5,6.8,5.5,2.26
STU1022,8.3,73.1,79.5,36.3,6.0,9.9,2.67
STU1023,15.9,95.4,80.5,69.0,6.9,5.5,3.41
STU1024,10.4,80.1,82.8,69.6,6.7,2.0,2.5
STU1025,9.3,96.0,52.8,66.5,5.5,10.0,2.8
STU1026,9.6,77.6,72.0,86.0,5.3,7.5,2.59
STU1027,13.1,96.6,52.0,87.6,7.4,5.8,3.27
STU1028,12.5,83.3,76.4,69.8,4.2,5.2,2.52
STU1029,12.7,84.6,75.9,44.2,7.0,8.4,2.72
STU1030,12.7,97.6,87.5,80.0,6.3,4.8,3.24
STU1031,19.6,78.4,89.1,79.2,8.1,8.5,3.3
STU1032,9.4,72.6,78.2,76.0,6.3,7.2,2.62
STU1033,9.0,77.5,70.5,84.8,7.5,6.5,2.32
STU1034,7.7,86.5,81.3,56.9,6.4,6.3,2.68
STU1035,13.5,66.3,70.2,98.1,6.9,5.6,2.91
STU1036,15.5,88.4,76.0,59.5,7.5,8.3,3.26
STU1037,10.5,76.6,86.8,81.7,6.3,4.1,2.69
STU1038,7.6,93.5,69.9,50.1,7.8,2.4,2.6
STU1039,7.7,58.1,84.9,59.9,5.8,7.4,1.94
STU1040,13.6,74.1,83.5,91.7,7.1,7.4,2.87
STU1041,14.0,65.1,65.5,68.6,7.7,7.1,2.86
STU1042,13.2,73.7,86.7,82.9,7.5,6.9,2.8
STU1043,8.3,84.5,83.7,75.1,8.7,5.3,2.44
STU1044,11.9,80.2,77.1,70.6,6.0,7.7,2.69
STU1045,11.5,79.5,67.6,89.7,5.4,5.9,2.77
STU1046,11.9,80.4,66.5,68.9,5.8,4.9,2.64
STU1047,14.5,84.0,70.1,48.9,7.5,5.3,3.03
STU1048,11.9,71.9,82.0,61.6,7.3,10.0,2.78
STU1049,13.7,89.1,65.5,79.2,6.9,2.2,3.19
STU1050,11.3,88.6,80.8,77.1,5.7,7.1,3.19
STU1051,12.2,85.9,62.3,51.6,7.6,2.3,2.96
STU1052,13.5,87.6,73.8,62.6,5.6,5.8,2.77
STU1053,5.2,85.0,77.2,64.4,8.0,5.0,2.21
STU1054,9.7,100.0,100.0,67.2,9.0,1.4,2.94
STU1055,9.1,81.1,60.8,54.1,7.2,6.9,2.46
STU1056,8.4,78.9,92.2,63.8,7.4,5.2,2.33
STU1057,9.9,74.5,77.6,62.5,6.3,1.4,2.38
